secs,42 days,FFT_CURVES,This season,FFT_CURVES,Last season,FFT_CURVES
28200,,,153,319,,
28500,,,151,319,,
28800,,,150,319,,
29100,,,148,319,,
29400,,,148,319,,
29700,,,147,319,,
30000,,,147,319,,
30300,,,146,319,,
30600,,,145,319,,
30900,,,143,319,,
31200,,,142,319,,
31500,,,140,319,,
31800,,,139,319,,
32100,,,138,319,,
32400,,,137,319,,
32700,,,137,319,,
33000,,,138,319,,
33300,,,139,319,,
33600,,,139,319,,
33900,,,140,319,,
